starttime	seconds	ctime	dtime	ttime	wait
Wed Sep 08 17:37:47 2021	1631115467	0	521	521	521
Wed Sep 08 17:37:54 2021	1631115474	0	522	522	521
Wed Sep 08 17:37:47 2021	1631115467	0	522	523	521
Wed Sep 08 17:37:42 2021	1631115462	0	522	523	522
Wed Sep 08 17:37:55 2021	1631115475	0	523	523	522
Wed Sep 08 17:37:53 2021	1631115473	0	524	524	523
Wed Sep 08 17:37:45 2021	1631115465	0	524	524	523
Wed Sep 08 17:37:38 2021	1631115458	0	524	524	524
Wed Sep 08 17:37:45 2021	1631115465	0	525	525	524
Wed Sep 08 17:37:44 2021	1631115464	0	525	525	469
Wed Sep 08 17:37:52 2021	1631115472	0	527	527	526
Wed Sep 08 17:37:39 2021	1631115459	0	528	528	527
Wed Sep 08 17:37:52 2021	1631115472	0	528	528	527
Wed Sep 08 17:37:42 2021	1631115462	0	528	529	528
Wed Sep 08 17:37:39 2021	1631115459	0	530	531	530
Wed Sep 08 17:37:51 2021	1631115471	0	532	532	531
Wed Sep 08 17:37:39 2021	1631115459	0	532	532	530
Wed Sep 08 17:37:44 2021	1631115464	0	532	532	531
Wed Sep 08 17:37:55 2021	1631115475	0	532	532	532
Wed Sep 08 17:37:38 2021	1631115458	3	531	534	530
Wed Sep 08 17:37:49 2021	1631115469	0	534	534	533
Wed Sep 08 17:37:38 2021	1631115458	6	528	534	528
Wed Sep 08 17:37:53 2021	1631115473	0	534	534	507
Wed Sep 08 17:37:42 2021	1631115462	0	535	535	534
Wed Sep 08 17:37:44 2021	1631115464	0	536	536	535
Wed Sep 08 17:37:39 2021	1631115459	0	537	537	536
Wed Sep 08 17:37:42 2021	1631115462	0	537	537	536
Wed Sep 08 17:37:47 2021	1631115467	0	538	538	537
Wed Sep 08 17:37:55 2021	1631115475	0	540	540	531
Wed Sep 08 17:37:42 2021	1631115462	0	539	540	539
Wed Sep 08 17:37:51 2021	1631115471	0	540	540	539
Wed Sep 08 17:37:53 2021	1631115473	0	541	541	540
Wed Sep 08 17:37:44 2021	1631115464	0	542	542	542
Wed Sep 08 17:37:38 2021	1631115458	5	537	542	537
Wed Sep 08 17:37:41 2021	1631115461	0	542	543	542
Wed Sep 08 17:37:43 2021	1631115463	0	543	543	542
Wed Sep 08 17:37:56 2021	1631115476	0	544	544	544
Wed Sep 08 17:37:56 2021	1631115476	0	546	546	546
Wed Sep 08 17:37:42 2021	1631115462	0	546	546	546
Wed Sep 08 17:37:51 2021	1631115471	0	546	546	546
Wed Sep 08 17:37:53 2021	1631115473	0	548	548	547
Wed Sep 08 17:37:47 2021	1631115467	0	550	550	549
Wed Sep 08 17:37:56 2021	1631115476	0	550	550	550
Wed Sep 08 17:37:52 2021	1631115472	0	551	551	550
Wed Sep 08 17:37:39 2021	1631115459	0	551	551	550
Wed Sep 08 17:37:56 2021	1631115476	0	551	552	551
Wed Sep 08 17:37:54 2021	1631115474	0	552	552	516
Wed Sep 08 17:37:38 2021	1631115458	0	552	552	552
Wed Sep 08 17:37:46 2021	1631115466	0	553	553	552
Wed Sep 08 17:37:53 2021	1631115473	0	553	553	553
Wed Sep 08 17:37:42 2021	1631115462	0	553	553	553
Wed Sep 08 17:37:56 2021	1631115476	0	553	553	553
Wed Sep 08 17:37:46 2021	1631115466	0	556	556	555
Wed Sep 08 17:37:42 2021	1631115462	1	556	557	555
Wed Sep 08 17:37:55 2021	1631115475	0	557	558	557
Wed Sep 08 17:37:49 2021	1631115469	0	558	558	558
Wed Sep 08 17:37:46 2021	1631115466	0	561	561	560
Wed Sep 08 17:37:56 2021	1631115476	0	561	561	560
Wed Sep 08 17:37:38 2021	1631115458	4	558	562	557
Wed Sep 08 17:37:44 2021	1631115464	0	562	562	562
Wed Sep 08 17:37:44 2021	1631115464	0	563	563	562
Wed Sep 08 17:37:46 2021	1631115466	0	563	563	562
Wed Sep 08 17:37:48 2021	1631115468	0	564	564	563
Wed Sep 08 17:37:55 2021	1631115475	0	564	564	563
Wed Sep 08 17:37:39 2021	1631115459	0	564	564	563
Wed Sep 08 17:37:38 2021	1631115458	3	562	565	529
Wed Sep 08 17:37:52 2021	1631115472	0	565	565	565
Wed Sep 08 17:37:40 2021	1631115460	0	565	565	564
Wed Sep 08 17:37:44 2021	1631115464	0	566	566	564
Wed Sep 08 17:37:42 2021	1631115462	0	567	567	566
Wed Sep 08 17:37:47 2021	1631115467	2	565	568	565
Wed Sep 08 17:37:50 2021	1631115470	0	568	568	565
Wed Sep 08 17:37:51 2021	1631115471	0	568	568	568
Wed Sep 08 17:37:52 2021	1631115472	0	569	569	568
Wed Sep 08 17:37:47 2021	1631115467	0	570	570	569
Wed Sep 08 17:37:56 2021	1631115476	0	571	571	570
Wed Sep 08 17:37:46 2021	1631115466	0	571	571	570
Wed Sep 08 17:37:43 2021	1631115463	0	572	572	571
Wed Sep 08 17:37:43 2021	1631115463	0	572	572	571
Wed Sep 08 17:37:42 2021	1631115462	0	572	572	571
Wed Sep 08 17:37:46 2021	1631115466	0	573	573	572
Wed Sep 08 17:37:53 2021	1631115473	0	574	574	573
Wed Sep 08 17:37:42 2021	1631115462	1	574	575	573
Wed Sep 08 17:37:43 2021	1631115463	0	575	575	574
Wed Sep 08 17:37:50 2021	1631115470	0	575	575	516
